,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,open_url,artist_name,title
2156,0.899,0.573,7,-17.401,1,0.0958,0.113,0.848,0.0472,0.964,119.788,audio_features,38bCAubLkKJjbzZwKegxfn,spotify:track:38bCAubLkKJjbzZwKegxfn,https://api.spotify.com/v1/tracks/38bCAubLkKJjbzZwKegxfn,https://api.spotify.com/v1/audio-analysis/38bCAubLkKJjbzZwKegxfn,165560,4,https://open.spotify.com/track/38bCAubLkKJjbzZwKegxfn,Monika_ Wolfgang,Mutter Erde
2157,0.465,0.907,11,-6.404,0,0.113,0.0241,0.00118,0.13,0.681,117.293,audio_features,6kooDsorCpWVMGc994XjWN,spotify:track:6kooDsorCpWVMGc994XjWN,https://api.spotify.com/v1/tracks/6kooDsorCpWVMGc994XjWN,https://api.spotify.com/v1/audio-analysis/6kooDsorCpWVMGc994XjWN,238973,4,https://open.spotify.com/track/6kooDsorCpWVMGc994XjWN,Pat Travers,Black Betty
2158,0.388,0.888,11,-6.929,1,0.0745,0.00455,7.84e-05,0.0975,0.528,130.102,audio_features,2Lb7mXegBW3WJEOict7Q47,spotify:track:2Lb7mXegBW3WJEOict7Q47,https://api.spotify.com/v1/tracks/2Lb7mXegBW3WJEOict7Q47,https://api.spotify.com/v1/audio-analysis/2Lb7mXegBW3WJEOict7Q47,310544,4,https://open.spotify.com/track/2Lb7mXegBW3WJEOict7Q47,Suicidal Tendencies,Monopoly On Sorrow
2159,0.873,0.556,11,-7.147,1,0.358,0.0326,0.0,0.105,0.379,97.951,audio_features,3KtXO2iSrh3uhtupzih5F6,spotify:track:3KtXO2iSrh3uhtupzih5F6,https://api.spotify.com/v1/tracks/3KtXO2iSrh3uhtupzih5F6,https://api.spotify.com/v1/audio-analysis/3KtXO2iSrh3uhtupzih5F6,200877,4,https://open.spotify.com/track/3KtXO2iSrh3uhtupzih5F6,Bad Azz,Ghetto
2160,0.52,0.652,5,-6.655,1,0.0274,0.34,5.49e-05,0.256,0.722,80.609,audio_features,6kvoHl80mfCVTv7XnZkjQn,spotify:track:6kvoHl80mfCVTv7XnZkjQn,https://api.spotify.com/v1/tracks/6kvoHl80mfCVTv7XnZkjQn,https://api.spotify.com/v1/audio-analysis/6kvoHl80mfCVTv7XnZkjQn,258787,4,https://open.spotify.com/track/6kvoHl80mfCVTv7XnZkjQn,X (Australia),It Must Be Me
2161,0.159,0.0779,7,-20.508,1,0.0409,0.981,0.945,0.247,0.0427,71.649,audio_features,3PlSjESvsU50fg4cajMBmg,spotify:track:3PlSjESvsU50fg4cajMBmg,https://api.spotify.com/v1/tracks/3PlSjESvsU50fg4cajMBmg,https://api.spotify.com/v1/audio-analysis/3PlSjESvsU50fg4cajMBmg,410267,3,https://open.spotify.com/track/3PlSjESvsU50fg4cajMBmg,Stern,T\xc3\xbcflische Plan
2162,0.666,0.796,10,-6.967,0,0.103,0.0492,0.0,0.0442,0.61,110.108,audio_features,1058fW9H3fZA6QjYCdOBad,spotify:track:1058fW9H3fZA6QjYCdOBad,https://api.spotify.com/v1/tracks/1058fW9H3fZA6QjYCdOBad,https://api.spotify.com/v1/audio-analysis/1058fW9H3fZA6QjYCdOBad,164842,4,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad,Wordsworth feat. Adanita Ross,Don't Go (Produced by Frequency)
2163,0.688,0.468,10,-12.503,1,0.15,0.89,0.000134,0.177,0.946,74.832,audio_features,6A28sLdLOf9vohN5LVl5KR,spotify:track:6A28sLdLOf9vohN5LVl5KR,https://api.spotify.com/v1/tracks/6A28sLdLOf9vohN5LVl5KR,https://api.spotify.com/v1/audio-analysis/6A28sLdLOf9vohN5LVl5KR,117360,4,https://open.spotify.com/track/6A28sLdLOf9vohN5LVl5KR,Smidi Beats,All Shook Up
2164,0.387,0.164,9,-14.617,1,0.085,0.962,0.0,0.0817,0.409,72.029,audio_features,3ebYtLVuV4HzEZUDcpZB9p,spotify:track:3ebYtLVuV4HzEZUDcpZB9p,https://api.spotify.com/v1/tracks/3ebYtLVuV4HzEZUDcpZB9p,https://api.spotify.com/v1/audio-analysis/3ebYtLVuV4HzEZUDcpZB9p,223144,4,https://open.spotify.com/track/3ebYtLVuV4HzEZUDcpZB9p,Minnie Riperton,Lovin' You
2165,0.541,0.714,5,-5.563,0,0.0547,0.579,0.0,0.606,0.623,81.934,audio_features,1d8ILFSynMOrH8zWyuaU2B,spotify:track:1d8ILFSynMOrH8zWyuaU2B,https://api.spotify.com/v1/tracks/1d8ILFSynMOrH8zWyuaU2B,https://api.spotify.com/v1/audio-analysis/1d8ILFSynMOrH8zWyuaU2B,308533,4,https://open.spotify.com/track/1d8ILFSynMOrH8zWyuaU2B,Wilmington Chester Mass Choir,Lord You're Worthy (Album)
